CA1001,中国国航,北京,上海,2024-03-21 07:30:00,2024-03-21 09:30:00,180,180,1200,0
MU2002,东方航空,上海,广州,2024-03-21 08:45:00,2024-03-21 10:45:00,160,160,1500,0
CZ3003,南方航空,广州,深圳,2024-03-21 09:15:00,2024-03-21 10:15:00,140,140,800,0
HU4004,海南航空,北京,成都,2024-03-21 10:30:00,2024-03-21 13:00:00,200,200,1800,0
MF5005,厦门航空,厦门,杭州,2024-03-21 11:20:00,2024-03-21 12:50:00,150,150,900,0
CA1006,中国国航,成都,重庆,2024-03-21 12:00:00,2024-03-21 13:00:00,120,120,600,0
MU2007,东方航空,重庆,西安,2024-03-21 13:30:00,2024-03-21 15:00:00,160,160,1000,0
CZ3008,南方航空,西安,北京,2024-03-21 14:15:00,2024-03-21 16:15:00,180,180,1600,0
HU4009,海南航空,深圳,上海,2024-03-21 15:00:00,2024-03-21 17:00:00,160,160,1400,0
MF5010,厦门航空,杭州,广州,2024-03-21 16:30:00,2024-03-21 18:00:00,150,150,1100,0
CA1011,中国国航,北京,深圳,2024-03-21 17:45:00,2024-03-21 20:15:00,190,190,2000,0
MU2012,东方航空,上海,成都,2024-03-21 18:30:00,2024-03-21 21:00:00,170,170,1700,0
CZ3013,南方航空,广州,西安,2024-03-21 19:00:00,2024-03-21 21:30:00,160,160,1300,0
HU4014,海南航空,北京,杭州,2024-03-21 20:15:00,2024-03-21 22:00:00,150,150,1100,0
MF5015,厦门航空,厦门,重庆,2024-03-21 21:00:00,2024-03-21 22:30:00,140,140,900,0 
